crop_path                                                                       , digit, rotation_deg, source_crop_path
data\bead_crops\from_video_dedup\augmented\C0023_frame000175_tag0_bead0_aug0.jpg,     5,         10.3, data\bead_crops\from_video_dedup\C0023_frame000175_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000375_tag2_bead0_aug0.jpg,     5,        357.1, data\bead_crops\from_video_dedup\C0023_frame000375_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000500_tag0_bead0_aug0.jpg,     5,         12.2, data\bead_crops\from_video_dedup\C0023_frame000500_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000725_tag0_bead0_aug0.jpg,     5,        352.5, data\bead_crops\from_video_dedup\C0023_frame000725_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000750_tag0_bead0_aug0.jpg,     5,        354.3, data\bead_crops\from_video_dedup\C0023_frame000750_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000875_tag0_bead0_aug0.jpg,     5,        355.6, data\bead_crops\from_video_dedup\C0023_frame000875_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000950_tag0_bead0_aug0.jpg,     5,        358.3, data\bead_crops\from_video_dedup\C0023_frame000950_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001150_tag2_bead0_aug0.jpg,     5,        347.8, data\bead_crops\from_video_dedup\C0023_frame001150_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001200_tag2_bead0_aug0.jpg,     5,          3.4, data\bead_crops\from_video_dedup\C0023_frame001200_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001250_tag3_bead0_aug0.jpg,     5,        346.9, data\bead_crops\from_video_dedup\C0023_frame001250_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001575_tag1_bead0_aug0.jpg,     5,        347.7, data\bead_crops\from_video_dedup\C0023_frame001575_tag1_bead0.jpg
