crop_path,recorded_digit,model_prediction,confidence
data\bead_crops\from_video_dedup\C0023_frame004575_tag2_bead1.jpg,6,5,0.9999
data\bead_crops\from_video_dedup\C0023_frame000800_tag0_bead4.jpg,2,1,0.9997
data\bead_crops\from_video_dedup\C0023_frame007750_tag3_bead0.jpg,4,0,0.9997
data\bead_crops\from_video_dedup\C0025_frame002650_tag1_bead0.jpg,1,3,0.9994
data\bead_crops\from_video_dedup\C0023_frame001550_tag3_bead0.jpg,4,3,0.9994
data\bead_crops\from_video_dedup\C0025_frame002625_tag2_bead0.jpg,1,3,0.9994
data\bead_crops\from_video_dedup\C0025_frame002675_tag1_bead3.jpg,1,3,0.9993
data\bead_crops\from_video_dedup\C0025_frame002600_tag4_bead0.jpg,1,3,0.998
data\bead_crops\from_video_dedup\C0023_frame000925_tag2_bead0.jpg,2,3,0.9977
data\bead_crops\from_video_dedup\C0023_frame001450_tag1_bead2.jpg,5,4,0.9817
data\bead_crops\from_video_dedup\C0023_frame007600_tag2_bead0.jpg,1,0,0.9793
data\bead_crops\from_video_dedup\C0023_frame001725_tag0_bead1.jpg,7,6,0.9783
data\bead_crops\from_video_dedup\C0025_frame000575_tag1_bead4.jpg,4,6,0.9767
data\bead_crops\from_video_dedup\C0023_frame007600_tag1_bead2.jpg,4,0,0.9727
data\bead_crops\from_video_dedup\C0025_frame003075_tag1_bead2.jpg,7,1,0.9721
data\bead_crops\from_video_dedup\C0025_frame002700_tag1_bead3.jpg,1,7,0.9644
data\bead_crops\from_video_dedup\C0023_frame004300_tag3_bead3.jpg,8,0,0.9642
data\bead_crops\from_video_dedup\C0023_frame007575_tag3_bead3.jpg,1,4,0.9587
data\bead_crops\from_video_dedup\C0025_frame002600_tag4_bead4.jpg,1,0,0.9523
data\bead_crops\from_video_dedup\C0025_frame003725_tag2_bead2.jpg,7,1,0.9395
data\bead_crops\from_video_dedup\C0023_frame003400_tag3_bead3.jpg,0,1,0.9279
data\bead_crops\from_video_dedup\C0025_frame000775_tag4_bead4.jpg,0,1,0.9278
data\bead_crops\from_video_dedup\C0025_frame004200_tag3_bead4.jpg,0,1,0.9255
data\bead_crops\from_video_dedup\C0025_frame002600_tag2_bead3.jpg,1,8,0.923
data\bead_crops\from_video_dedup\C0025_frame001225_tag0_bead4.jpg,0,1,0.9178
data\bead_crops\from_video_dedup\C0023_frame005425_tag3_bead0.jpg,6,0,0.9178
data\bead_crops\from_video_dedup\C0023_frame003150_tag2_bead1.jpg,1,0,0.9149
data\bead_crops\from_video_dedup\C0023_frame004625_tag3_bead1.jpg,3,1,0.9071
data\bead_crops\from_video_dedup\C0025_frame003700_tag0_bead0.jpg,4,1,0.9066
data\bead_crops\from_video_dedup\C0025_frame001725_tag2_bead2.jpg,7,1,0.9025
data\bead_crops\from_video_dedup\C0025_frame000775_tag2_bead1.jpg,6,7,0.9005
data\bead_crops\from_video_dedup\C0023_frame006625_tag1_bead3.jpg,4,6,0.8855
data\bead_crops\from_video_dedup\C0021_frame004150_tag0_bead3.jpg,4,1,0.8792
data\bead_crops\from_video_dedup\C0023_frame000925_tag1_bead0.jpg,8,0,0.8783
data\bead_crops\from_video_dedup\C0025_frame003425_tag1_bead2.jpg,7,1,0.8772
data\bead_crops\from_video_dedup\C0025_frame003150_tag2_bead0.jpg,6,5,0.8762
data\bead_crops\from_video_dedup\C0025_frame000875_tag0_bead4.jpg,0,1,0.8736
data\bead_crops\from_video_dedup\C0025_frame000925_tag3_bead2.jpg,6,7,0.8725
data\bead_crops\from_video_dedup\C0023_frame001100_tag1_bead3.jpg,7,0,0.8715
data\bead_crops\from_video_dedup\C0023_frame007450_tag2_bead3.jpg,4,1,0.868
data\bead_crops\from_video_dedup\C0023_frame001575_tag2_bead1.jpg,2,3,0.8517
data\bead_crops\from_video_dedup\C0023_frame006125_tag3_bead3.jpg,8,4,0.8412
data\bead_crops\from_video_dedup\C0025_frame003050_tag1_bead0.jpg,7,1,0.8361
data\bead_crops\from_video_dedup\C0023_frame005800_tag2_bead0.jpg,4,1,0.8307
data\bead_crops\from_video_dedup\C0023_frame000625_tag1_bead1.jpg,3,2,0.8304
data\bead_crops\from_video_dedup\C0021_frame004200_tag1_bead1.jpg,4,1,0.8253
data\bead_crops\from_video_dedup\C0023_frame004975_tag4_bead0.jpg,6,0,0.8251
data\bead_crops\from_video_dedup\C0025_frame002725_tag2_bead3.jpg,2,1,0.825
data\bead_crops\from_video_dedup\C0025_frame002675_tag0_bead1.jpg,1,7,0.8237
data\bead_crops\from_video_dedup\C0021_frame004375_tag0_bead3.jpg,4,1,0.8213
data\bead_crops\from_video_dedup\C0021_frame008150_tag1_bead0.jpg,1,7,0.8199
data\bead_crops\from_video_dedup\C0025_frame002000_tag1_bead4.jpg,1,7,0.8115
data\bead_crops\from_video_dedup\C0025_frame000925_tag3_bead3.jpg,6,8,0.8098
data\bead_crops\from_video_dedup\C0023_frame000600_tag3_bead3.jpg,7,0,0.8068
data\bead_crops\from_video_dedup\C0023_frame002925_tag4_bead1.jpg,8,0,0.8057
data\bead_crops\from_video_dedup\C0023_frame001575_tag0_bead1.jpg,6,0,0.8027
data\bead_crops\from_video_dedup\C0025_frame002200_tag3_bead3.jpg,4,8,0.8004
data\bead_crops\from_video_dedup\C0023_frame007150_tag1_bead1.jpg,6,3,0.7932
data\bead_crops\from_video_dedup\C0025_frame003500_tag2_bead2.jpg,7,8,0.7921
data\bead_crops\from_video_dedup\C0025_frame001975_tag4_bead4.jpg,0,1,0.7865
data\bead_crops\from_video_dedup\C0021_frame005700_tag1_bead3.jpg,4,6,0.786
data\bead_crops\from_video_dedup\C0023_frame007325_tag4_bead2.jpg,4,1,0.7839
data\bead_crops\from_video_dedup\C0023_frame000725_tag0_bead4.jpg,1,0,0.7815
data\bead_crops\from_video_dedup\C0023_frame007700_tag0_bead3.jpg,1,4,0.7764
data\bead_crops\from_video_dedup\C0025_frame001575_tag2_bead4.jpg,4,1,0.7536
data\bead_crops\from_video_dedup\C0025_frame004075_tag3_bead3.jpg,7,1,0.7531
data\bead_crops\from_video_dedup\C0025_frame002975_tag4_bead4.jpg,4,6,0.7519
data\bead_crops\from_video_dedup\C0025_frame002250_tag2_bead3.jpg,7,1,0.7501
data\bead_crops\from_video_dedup\C0021_frame005000_tag0_bead3.jpg,4,1,0.7374
data\bead_crops\from_video_dedup\C0023_frame000275_tag0_bead3.jpg,7,0,0.7353
data\bead_crops\from_video_dedup\C0025_frame000025_tag1_bead3.jpg,3,0,0.7276
data\bead_crops\from_video_dedup\C0023_frame005875_tag2_bead0.jpg,4,1,0.7274
data\bead_crops\from_video_dedup\C0021_frame007700_tag1_bead2.jpg,6,0,0.7202
data\bead_crops\from_video_dedup\C0025_frame001950_tag2_bead2.jpg,6,0,0.7187
data\bead_crops\from_video_dedup\C0025_frame003925_tag1_bead2.jpg,7,1,0.713
data\bead_crops\from_video_dedup\C0025_frame000925_tag1_bead3.jpg,4,6,0.7071
data\bead_crops\from_video_dedup\C0023_frame003625_tag3_bead1.jpg,4,1,0.7056
data\bead_crops\from_video_dedup\C0021_frame008075_tag1_bead0.jpg,1,7,0.6978
data\bead_crops\from_video_dedup\C0023_frame007550_tag0_bead2.jpg,4,6,0.6933
data\bead_crops\from_video_dedup\C0023_frame000350_tag4_bead3.jpg,7,1,0.6923
data\bead_crops\from_video_dedup\C0023_frame006250_tag4_bead0.jpg,4,1,0.6802
data\bead_crops\from_video_dedup\C0025_frame003125_tag3_bead1.jpg,6,7,0.6716
data\bead_crops\from_video_dedup\C0025_frame001050_tag0_bead4.jpg,4,6,0.6701
data\bead_crops\from_video_dedup\C0025_frame002775_tag5_bead2.jpg,5,6,0.6677
data\bead_crops\from_video_dedup\C0025_frame000575_tag1_bead3.jpg,6,0,0.6642
data\bead_crops\from_video_dedup\C0025_frame004725_tag1_bead4.jpg,0,1,0.6623
data\bead_crops\from_video_dedup\C0023_frame000500_tag0_bead0.jpg,5,7,0.6575
data\bead_crops\from_video_dedup\C0023_frame002925_tag0_bead2.jpg,0,1,0.6568
data\bead_crops\from_video_dedup\C0021_frame004725_tag0_bead2.jpg,6,0,0.6436
data\bead_crops\from_video_dedup\C0025_frame003150_tag2_bead1.jpg,5,6,0.6363
data\bead_crops\from_video_dedup\C0025_frame001050_tag4_bead1.jpg,6,5,0.6347
data\bead_crops\from_video_dedup\C0025_frame002900_tag2_bead2.jpg,8,1,0.6279
data\bead_crops\from_video_dedup\C0023_frame003825_tag2_bead3.jpg,7,1,0.6266
data\bead_crops\from_video_dedup\C0023_frame007450_tag3_bead0.jpg,0,1,0.6193
data\bead_crops\from_video_dedup\C0023_frame004350_tag2_bead2.jpg,8,0,0.6081
data\bead_crops\from_video_dedup\C0025_frame002775_tag5_bead0.jpg,7,1,0.6075
data\bead_crops\from_video_dedup\C0023_frame005900_tag0_bead2.jpg,3,0,0.6059
data\bead_crops\from_video_dedup\C0023_frame006150_tag3_bead3.jpg,8,4,0.6036
data\bead_crops\from_video_dedup\C0023_frame004475_tag2_bead3.jpg,7,0,0.6016
data\bead_crops\from_video_dedup\C0023_frame008000_tag0_bead3.jpg,3,0,0.5939
data\bead_crops\from_video_dedup\C0023_frame008150_tag2_bead0.jpg,6,3,0.5937
data\bead_crops\from_video_dedup\C0023_frame002650_tag4_bead3.jpg,4,5,0.5915
data\bead_crops\from_video_dedup\C0025_frame002625_tag2_bead3.jpg,1,2,0.5903
data\bead_crops\from_video_dedup\C0023_frame005525_tag3_bead0.jpg,0,1,0.5888
data\bead_crops\from_video_dedup\C0023_frame001325_tag1_bead0.jpg,3,4,0.5773
data\bead_crops\from_video_dedup\C0025_frame000500_tag2_bead3.jpg,6,0,0.5717
data\bead_crops\from_video_dedup\C0025_frame001050_tag3_bead0.jpg,4,6,0.567
data\bead_crops\from_video_dedup\C0023_frame004125_tag4_bead3.jpg,7,0,0.5549
data\bead_crops\from_video_dedup\C0023_frame001000_tag2_bead2.jpg,3,2,0.5525
data\bead_crops\from_video_dedup\C0023_frame002700_tag0_bead1.jpg,2,3,0.5469
data\bead_crops\from_video_dedup\C0023_frame002350_tag0_bead1.jpg,4,6,0.5459
data\bead_crops\from_video_dedup\C0023_frame001750_tag4_bead1.jpg,2,3,0.5442
data\bead_crops\from_video_dedup\C0023_frame007475_tag2_bead0.jpg,8,0,0.5431
