crop_path,video,frame,tag_idx,bead_idx,sam3_score
data\bead_crops\from_video_dedup\C0023_frame004575_tag2_bead1.jpg,C0023.MP4,4575,2,1,0.9688
data\bead_crops\from_video_dedup\C0023_frame000800_tag0_bead4.jpg,C0023.MP4,800,0,4,0.9062
data\bead_crops\from_video_dedup\C0023_frame007750_tag3_bead0.jpg,C0023.MP4,7750,3,0,0.8945
data\bead_crops\from_video_dedup\C0025_frame002650_tag1_bead0.jpg,C0025.MP4,2650,1,0,0.9727
data\bead_crops\from_video_dedup\C0023_frame001550_tag3_bead0.jpg,C0023.MP4,1550,3,0,0.9688
data\bead_crops\from_video_dedup\C0025_frame002625_tag2_bead0.jpg,C0025.MP4,2625,2,0,0.9727
data\bead_crops\from_video_dedup\C0025_frame002675_tag1_bead3.jpg,C0025.MP4,2675,1,3,0.9688
data\bead_crops\from_video_dedup\C0025_frame002600_tag4_bead0.jpg,C0025.MP4,2600,4,0,0.9648
data\bead_crops\from_video_dedup\C0023_frame000925_tag2_bead0.jpg,C0023.MP4,925,2,0,0.9609
data\bead_crops\from_video_dedup\C0023_frame001450_tag1_bead2.jpg,C0023.MP4,1450,1,2,0.9531
data\bead_crops\from_video_dedup\C0023_frame007600_tag2_bead0.jpg,C0023.MP4,7600,2,0,0.9023
data\bead_crops\from_video_dedup\C0023_frame001725_tag0_bead1.jpg,C0023.MP4,1725,0,1,0.9453
data\bead_crops\from_video_dedup\C0025_frame000575_tag1_bead4.jpg,C0025.MP4,575,1,4,0.9531
data\bead_crops\from_video_dedup\C0023_frame007600_tag1_bead2.jpg,C0023.MP4,7600,1,2,0.9648
data\bead_crops\from_video_dedup\C0025_frame003075_tag1_bead2.jpg,C0025.MP4,3075,1,2,0.9531
data\bead_crops\from_video_dedup\C0025_frame002700_tag1_bead3.jpg,C0025.MP4,2700,1,3,0.918
data\bead_crops\from_video_dedup\C0023_frame004300_tag3_bead3.jpg,C0023.MP4,4300,3,3,0.6797
data\bead_crops\from_video_dedup\C0023_frame007575_tag3_bead3.jpg,C0023.MP4,7575,3,3,0.9609
data\bead_crops\from_video_dedup\C0025_frame002600_tag4_bead4.jpg,C0025.MP4,2600,4,4,0.9258
data\bead_crops\from_video_dedup\C0025_frame003725_tag2_bead2.jpg,C0025.MP4,3725,2,2,0.9609
data\bead_crops\from_video_dedup\C0023_frame003400_tag3_bead3.jpg,C0023.MP4,3400,3,3,0.6289
data\bead_crops\from_video_dedup\C0025_frame000775_tag4_bead4.jpg,C0025.MP4,775,4,4,0.918
data\bead_crops\from_video_dedup\C0025_frame004200_tag3_bead4.jpg,C0025.MP4,4200,3,4,0.9531
data\bead_crops\from_video_dedup\C0025_frame002600_tag2_bead3.jpg,C0025.MP4,2600,2,3,0.9414
data\bead_crops\from_video_dedup\C0025_frame001225_tag0_bead4.jpg,C0025.MP4,1225,0,4,0.8203
data\bead_crops\from_video_dedup\C0023_frame005425_tag3_bead0.jpg,C0023.MP4,5425,3,0,0.5508
data\bead_crops\from_video_dedup\C0023_frame003150_tag2_bead1.jpg,C0023.MP4,3150,2,1,0.6797
data\bead_crops\from_video_dedup\C0023_frame004625_tag3_bead1.jpg,C0023.MP4,4625,3,1,0.9648
data\bead_crops\from_video_dedup\C0025_frame003700_tag0_bead0.jpg,C0025.MP4,3700,0,0,0.9688
data\bead_crops\from_video_dedup\C0025_frame001725_tag2_bead2.jpg,C0025.MP4,1725,2,2,0.6562
data\bead_crops\from_video_dedup\C0025_frame000775_tag2_bead1.jpg,C0025.MP4,775,2,1,0.5117
data\bead_crops\from_video_dedup\C0023_frame006625_tag1_bead3.jpg,C0023.MP4,6625,1,3,0.9531
data\bead_crops\from_video_dedup\C0021_frame004150_tag0_bead3.jpg,C0021.MP4,4150,0,3,0.9219
data\bead_crops\from_video_dedup\C0023_frame000925_tag1_bead0.jpg,C0023.MP4,925,1,0,0.957
data\bead_crops\from_video_dedup\C0025_frame003425_tag1_bead2.jpg,C0025.MP4,3425,1,2,0.9414
data\bead_crops\from_video_dedup\C0025_frame003150_tag2_bead0.jpg,C0025.MP4,3150,2,0,0.8984
data\bead_crops\from_video_dedup\C0025_frame000875_tag0_bead4.jpg,C0025.MP4,875,0,4,0.9102
data\bead_crops\from_video_dedup\C0025_frame000925_tag3_bead2.jpg,C0025.MP4,925,3,2,0.5938
