crop_path,digit,rotation_deg
data\bead_crops\from_video_dedup\C0021_frame000150_tag0_bead2.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000200_tag2_bead0.jpg,3,0
data\bead_crops\from_video_dedup\C0021_frame000150_tag0_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000125_tag1_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000150_tag0_bead4.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000000_tag1_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000000_tag1_bead1.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000100_tag0_bead1.jpg,6,0
data\bead_crops\from_video_dedup\C0021_frame000025_tag0_bead2.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000250_tag1_bead4.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000050_tag2_bead0.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000000_tag2_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000200_tag0_bead2.jpg,6,0
data\bead_crops\from_video_dedup\C0021_frame000050_tag2_bead2.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000000_tag2_bead4.jpg,6,0
data\bead_crops\from_video_dedup\C0021_frame000025_tag1_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000050_tag1_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000050_tag1_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000100_tag0_bead3.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000200_tag2_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000100_tag0_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000100_tag0_bead2.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000150_tag2_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000200_tag2_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000125_tag1_bead4.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000125_tag1_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000325_tag2_bead2.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000150_tag1_bead1.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000350_tag1_bead3.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000275_tag2_bead1.jpg,6,0
data\bead_crops\from_video_dedup\C0021_frame000175_tag2_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000225_tag2_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000225_tag2_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000225_tag2_bead4.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000250_tag2_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000300_tag1_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000275_tag1_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000300_tag1_bead2.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000300_tag1_bead4.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000300_tag2_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000325_tag0_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000325_tag1_bead3.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000350_tag1_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000350_tag1_bead1.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000375_tag2_bead2.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000375_tag2_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000425_tag1_bead2.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000400_tag2_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000425_tag0_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000425_tag1_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000425_tag1_bead3.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000425_tag1_bead4.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000425_tag2_bead2.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000450_tag1_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000500_tag2_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000525_tag0_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000550_tag0_bead4.jpg,6,0
data\bead_crops\from_video_dedup\C0021_frame000500_tag0_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000525_tag1_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000525_tag2_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000525_tag2_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000550_tag0_bead0.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000550_tag0_bead1.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000550_tag1_bead4.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000550_tag2_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000550_tag2_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000650_tag0_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000575_tag0_bead2.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000575_tag0_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000575_tag0_bead4.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000575_tag1_bead1.jpg,6,0
data\bead_crops\from_video_dedup\C0021_frame000575_tag1_bead3.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000575_tag2_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000600_tag1_bead2.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000600_tag2_bead1.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000675_tag0_bead1.jpg,6,0
data\bead_crops\from_video_dedup\C0021_frame000650_tag0_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000725_tag0_bead2.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000725_tag0_bead4.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000675_tag1_bead2.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000675_tag1_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000675_tag0_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000675_tag0_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000700_tag0_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000775_tag2_bead2.jpg,6,0
data\bead_crops\from_video_dedup\C0021_frame000700_tag0_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000750_tag1_bead1.jpg,6,0
data\bead_crops\from_video_dedup\C0021_frame000700_tag2_bead2.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000700_tag2_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000750_tag0_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000725_tag0_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000725_tag1_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000900_tag2_bead1.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000775_tag2_bead1.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000750_tag0_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000775_tag2_bead4.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000875_tag2_bead4.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000825_tag0_bead2.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000775_tag0_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000775_tag2_bead0.jpg,1,0
data\bead_crops\from_video_dedup\C0021_frame000800_tag0_bead0.jpg,3,0
data\bead_crops\from_video_dedup\C0021_frame000800_tag0_bead2.jpg,2,0
data\bead_crops\from_video_dedup\C0021_frame000800_tag2_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000825_tag0_bead3.jpg,4,0
data\bead_crops\from_video_dedup\C0021_frame000850_tag1_bead1.jpg,0,0
data\bead_crops\from_video_dedup\C0021_frame000850_tag1_bead3.jpg,8,0
data\bead_crops\from_video_dedup\C0021_frame000850_tag1_bead4.jpg,4,0
