crop_path,digit,score
data\bead_crops\from_video_dedup\C0023_frame004000_tag4_bead1.jpg,6,0.8836
data\bead_crops\from_video_dedup\C0023_frame004075_tag0_bead1.jpg,6,0.9165
data\bead_crops\from_video_dedup\C0023_frame004225_tag2_bead2.jpg,6,0.9078
data\bead_crops\from_video_dedup\C0023_frame004425_tag3_bead4.jpg,4,0.9813
data\bead_crops\from_video_dedup\C0023_frame004375_tag1_bead4.jpg,4,0.9772
data\bead_crops\from_video_dedup\C0023_frame004500_tag0_bead4.jpg,4,0.9781
data\bead_crops\from_video_dedup\C0023_frame004550_tag4_bead1.jpg,3,0.8795
data\bead_crops\from_video_dedup\C0023_frame004600_tag1_bead4.jpg,4,0.9655
data\bead_crops\from_video_dedup\C0023_frame004625_tag1_bead3.jpg,6,0.8755
data\bead_crops\from_video_dedup\C0023_frame004625_tag1_bead4.jpg,4,0.9719
data\bead_crops\from_video_dedup\C0023_frame004700_tag1_bead1.jpg,9,0.9216
data\bead_crops\from_video_dedup\C0023_frame004775_tag0_bead3.jpg,6,0.8841
data\bead_crops\from_video_dedup\C0023_frame004825_tag0_bead3.jpg,6,0.932
data\bead_crops\from_video_dedup\C0023_frame004775_tag2_bead0.jpg,9,0.9562
data\bead_crops\from_video_dedup\C0023_frame004775_tag2_bead4.jpg,9,0.7555
data\bead_crops\from_video_dedup\C0023_frame004800_tag1_bead3.jpg,4,0.9786
data\bead_crops\from_video_dedup\C0023_frame004800_tag2_bead0.jpg,9,0.9653
data\bead_crops\from_video_dedup\C0023_frame004900_tag0_bead3.jpg,6,0.9162
data\bead_crops\from_video_dedup\C0023_frame004950_tag0_bead0.jpg,3,0.9107
data\bead_crops\from_video_dedup\C0023_frame004925_tag1_bead3.jpg,6,0.9059
data\bead_crops\from_video_dedup\C0023_frame005100_tag0_bead1.jpg,9,0.9418
data\bead_crops\from_video_dedup\C0023_frame005075_tag2_bead1.jpg,6,0.8679
data\bead_crops\from_video_dedup\C0023_frame005300_tag1_bead1.jpg,6,0.7538
data\bead_crops\from_video_dedup\C0023_frame005425_tag0_bead4.jpg,9,0.7524
data\bead_crops\from_video_dedup\C0023_frame005375_tag0_bead0.jpg,9,0.9117
data\bead_crops\from_video_dedup\C0023_frame005525_tag3_bead1.jpg,9,0.7716
data\bead_crops\from_video_dedup\C0023_frame005600_tag0_bead4.jpg,9,0.837
data\bead_crops\from_video_dedup\C0025_frame001525_tag1_bead4.jpg,4,0.9173
data\bead_crops\from_video_dedup\C0025_frame001650_tag4_bead4.jpg,4,0.9761
data\bead_crops\from_video_dedup\C0025_frame001825_tag0_bead4.jpg,4,0.9821
data\bead_crops\from_video_dedup\C0025_frame001925_tag1_bead4.jpg,4,0.9874
data\bead_crops\from_video_dedup\C0025_frame001975_tag0_bead4.jpg,4,0.9574
data\bead_crops\from_video_dedup\C0025_frame002275_tag4_bead4.jpg,4,0.8687
data\bead_crops\from_video_dedup\C0025_frame003125_tag3_bead1.jpg,6,0.9097
