crop_path,pred_text,score
data\bead_crops\from_video_dedup\C0021_frame000150_tag0_bead2.jpg,0,0.1615
data\bead_crops\from_video_dedup\C0021_frame000200_tag2_bead0.jpg,O,0.1463
data\bead_crops\from_video_dedup\C0021_frame000150_tag0_bead3.jpg,0,0.0806
data\bead_crops\from_video_dedup\C0021_frame000125_tag1_bead0.jpg,O,0.2588
data\bead_crops\from_video_dedup\C0021_frame000150_tag0_bead4.jpg,O,0.2633
data\bead_crops\from_video_dedup\C0021_frame000000_tag1_bead0.jpg,0,0.1776
data\bead_crops\from_video_dedup\C0021_frame000000_tag1_bead1.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000100_tag0_bead1.jpg,?,0.2221
data\bead_crops\from_video_dedup\C0021_frame000025_tag0_bead2.jpg,0,0.4595
data\bead_crops\from_video_dedup\C0021_frame000250_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000050_tag2_bead0.jpg,O,0.3638
data\bead_crops\from_video_dedup\C0021_frame000000_tag2_bead1.jpg,C,0.0946
data\bead_crops\from_video_dedup\C0021_frame000200_tag0_bead2.jpg,0,0.163
data\bead_crops\from_video_dedup\C0021_frame000050_tag2_bead2.jpg,O,0.6415
data\bead_crops\from_video_dedup\C0021_frame000000_tag2_bead4.jpg,0,0.1779
data\bead_crops\from_video_dedup\C0021_frame000025_tag1_bead1.jpg,0,0.1391
data\bead_crops\from_video_dedup\C0021_frame000050_tag1_bead1.jpg,0,0.0645
data\bead_crops\from_video_dedup\C0021_frame000050_tag1_bead3.jpg,9,0.1185
data\bead_crops\from_video_dedup\C0021_frame000100_tag0_bead3.jpg,0,0.5116
data\bead_crops\from_video_dedup\C0021_frame000200_tag2_bead1.jpg,?,0.0773
data\bead_crops\from_video_dedup\C0021_frame000100_tag0_bead0.jpg,O,0.3145
data\bead_crops\from_video_dedup\C0021_frame000100_tag0_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000150_tag2_bead1.jpg,O,0.0963
data\bead_crops\from_video_dedup\C0021_frame000200_tag2_bead3.jpg,0,0.0868
data\bead_crops\from_video_dedup\C0021_frame000125_tag1_bead4.jpg,O,0.3429
data\bead_crops\from_video_dedup\C0021_frame000125_tag1_bead3.jpg,0,0.0749
data\bead_crops\from_video_dedup\C0021_frame000325_tag2_bead2.jpg,O,0.5876
data\bead_crops\from_video_dedup\C0021_frame000150_tag1_bead1.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000350_tag1_bead3.jpg,0,0.3896
data\bead_crops\from_video_dedup\C0021_frame000275_tag2_bead1.jpg,?,0.1884
data\bead_crops\from_video_dedup\C0021_frame000175_tag2_bead3.jpg,0,0.066
data\bead_crops\from_video_dedup\C0021_frame000225_tag2_bead1.jpg,?,0.1238
data\bead_crops\from_video_dedup\C0021_frame000225_tag2_bead3.jpg,0,0.1531
data\bead_crops\from_video_dedup\C0021_frame000225_tag2_bead4.jpg,O,0.3531
data\bead_crops\from_video_dedup\C0021_frame000250_tag2_bead3.jpg,0,0.1234
data\bead_crops\from_video_dedup\C0021_frame000300_tag1_bead3.jpg,0,0.1215
data\bead_crops\from_video_dedup\C0021_frame000275_tag1_bead1.jpg,C,0.15
data\bead_crops\from_video_dedup\C0021_frame000300_tag1_bead2.jpg,2,0.1204
data\bead_crops\from_video_dedup\C0021_frame000300_tag1_bead4.jpg,O,0.2842
data\bead_crops\from_video_dedup\C0021_frame000300_tag2_bead0.jpg,0,0.4387
data\bead_crops\from_video_dedup\C0021_frame000325_tag0_bead3.jpg,0,0.1394
data\bead_crops\from_video_dedup\C0021_frame000325_tag1_bead3.jpg,0,0.4827
data\bead_crops\from_video_dedup\C0021_frame000350_tag1_bead0.jpg,0,0.3594
data\bead_crops\from_video_dedup\C0021_frame000350_tag1_bead1.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000375_tag2_bead2.jpg,0,0.0852
data\bead_crops\from_video_dedup\C0021_frame000375_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000425_tag1_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000400_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000425_tag0_bead1.jpg,2,0.0993
data\bead_crops\from_video_dedup\C0021_frame000425_tag1_bead0.jpg,0,0.3103
data\bead_crops\from_video_dedup\C0021_frame000425_tag1_bead3.jpg,0,0.3965
data\bead_crops\from_video_dedup\C0021_frame000425_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000425_tag2_bead2.jpg,0,0.1081
data\bead_crops\from_video_dedup\C0021_frame000450_tag1_bead3.jpg,0,0.1251
data\bead_crops\from_video_dedup\C0021_frame000500_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000525_tag0_bead1.jpg,C,0.4119
data\bead_crops\from_video_dedup\C0021_frame000550_tag0_bead4.jpg,0,0.202
data\bead_crops\from_video_dedup\C0021_frame000500_tag0_bead3.jpg,0,0.1207
data\bead_crops\from_video_dedup\C0021_frame000525_tag1_bead1.jpg,?,0.1973
data\bead_crops\from_video_dedup\C0021_frame000525_tag2_bead0.jpg,0,0.2101
data\bead_crops\from_video_dedup\C0021_frame000525_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000550_tag0_bead0.jpg,O,0.3362
data\bead_crops\from_video_dedup\C0021_frame000550_tag0_bead1.jpg,C,0.7368
data\bead_crops\from_video_dedup\C0021_frame000550_tag1_bead4.jpg,O,0.2154
data\bead_crops\from_video_dedup\C0021_frame000550_tag2_bead0.jpg,0,0.2931
data\bead_crops\from_video_dedup\C0021_frame000550_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000650_tag0_bead0.jpg,0,0.3371
data\bead_crops\from_video_dedup\C0021_frame000575_tag0_bead2.jpg,0,0.2919
data\bead_crops\from_video_dedup\C0021_frame000575_tag0_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000575_tag0_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000575_tag1_bead1.jpg,0,0.2159
data\bead_crops\from_video_dedup\C0021_frame000575_tag1_bead3.jpg,O,0.653
data\bead_crops\from_video_dedup\C0021_frame000575_tag2_bead3.jpg,O,0.1403
data\bead_crops\from_video_dedup\C0021_frame000600_tag0_bead3.jpg,C,0.283
data\bead_crops\from_video_dedup\C0021_frame000600_tag1_bead2.jpg,C,0.0729
data\bead_crops\from_video_dedup\C0021_frame000600_tag2_bead1.jpg,O,0.2245
data\bead_crops\from_video_dedup\C0021_frame000675_tag0_bead1.jpg,©,0.1615
data\bead_crops\from_video_dedup\C0021_frame000650_tag0_bead3.jpg,C,0.1072
data\bead_crops\from_video_dedup\C0021_frame000725_tag0_bead2.jpg,0,0.1881
data\bead_crops\from_video_dedup\C0021_frame000725_tag0_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000700_tag1_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000675_tag1_bead2.jpg,?,0.1218
data\bead_crops\from_video_dedup\C0021_frame000675_tag1_bead3.jpg,O,0.0853
data\bead_crops\from_video_dedup\C0021_frame000675_tag0_bead0.jpg,0,0.3271
data\bead_crops\from_video_dedup\C0021_frame000675_tag0_bead3.jpg,O,0.1061
