crop_path,video,frame,tag_idx,bead_idx,sam3_score
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag0_bead0.jpg,C0021.MP4,0,0,0,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag0_bead1.jpg,C0021.MP4,0,0,1,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag0_bead2.jpg,C0021.MP4,0,0,2,0.9258
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag0_bead3.jpg,C0021.MP4,0,0,3,0.9219
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag0_bead4.jpg,C0021.MP4,0,0,4,0.8789
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag1_bead0.jpg,C0021.MP4,0,1,0,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag1_bead1.jpg,C0021.MP4,0,1,1,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag1_bead2.jpg,C0021.MP4,0,1,2,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag1_bead3.jpg,C0021.MP4,0,1,3,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag1_bead4.jpg,C0021.MP4,0,1,4,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag2_bead0.jpg,C0021.MP4,0,2,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag2_bead1.jpg,C0021.MP4,0,2,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag2_bead2.jpg,C0021.MP4,0,2,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag2_bead3.jpg,C0021.MP4,0,2,3,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000000_tag2_bead4.jpg,C0021.MP4,0,2,4,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag0_bead0.jpg,C0021.MP4,25,0,0,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag0_bead1.jpg,C0021.MP4,25,0,1,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag0_bead2.jpg,C0021.MP4,25,0,2,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag0_bead3.jpg,C0021.MP4,25,0,3,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag0_bead4.jpg,C0021.MP4,25,0,4,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag1_bead0.jpg,C0021.MP4,25,1,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag1_bead1.jpg,C0021.MP4,25,1,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag1_bead2.jpg,C0021.MP4,25,1,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag1_bead3.jpg,C0021.MP4,25,1,3,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag1_bead4.jpg,C0021.MP4,25,1,4,0.918
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag2_bead0.jpg,C0021.MP4,25,2,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag2_bead1.jpg,C0021.MP4,25,2,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag2_bead2.jpg,C0021.MP4,25,2,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag2_bead3.jpg,C0021.MP4,25,2,3,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000025_tag2_bead4.jpg,C0021.MP4,25,2,4,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag0_bead0.jpg,C0021.MP4,50,0,0,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag0_bead1.jpg,C0021.MP4,50,0,1,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag0_bead2.jpg,C0021.MP4,50,0,2,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag0_bead3.jpg,C0021.MP4,50,0,3,0.9258
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag0_bead4.jpg,C0021.MP4,50,0,4,0.9219
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag1_bead0.jpg,C0021.MP4,50,1,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag1_bead1.jpg,C0021.MP4,50,1,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag1_bead2.jpg,C0021.MP4,50,1,2,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag1_bead3.jpg,C0021.MP4,50,1,3,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag1_bead4.jpg,C0021.MP4,50,1,4,0.9102
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag2_bead0.jpg,C0021.MP4,50,2,0,0.9688
